1,"['romney', 'get', 'less', 'minutes', 'debate', 'candy', 'crowley', 'still', 'perform']"
2,"['beat', 'record', 'credibility', 'character']"
3,"['actually', 'like', 'romney', 'response', 'immigration']"
4,"['immigration', 'statement', 'romney', 'answer', 'enough', 'get', 'vote']"
5,"['romney', 'tear', 'dude', 'economics']"
6,"['romney', 'less', 'prove', 'give', 'last', 'debate', 'not', 'back', 'inch', 'president']"
7,"['romney', 'come', 'dumbass', 'love', 'plan', 'small', 'large', 'business', 'owners', 'great', 'idea', 'american', 'manufacture']"
8,"['great', 'close', 'romney', 'sum', 'well']"
9,"['ready', 'romney', 'become', 'president', 'lol']"
10,"['get', 'trample', 'constitution', 'please']"
11,"['go', 'romney', 'tire', 'immigration', 'shit']"
12,"['romney', 'shit', 'people', 'crazy']"
13,"['romney', 'beast', 'ideas', 'policies', 'great', 'immigrants', 'green', 'card', 'deport', 'crack']"
14,"['way', 'stick', 'gun', 'illegal', 'immigration', 'romney', 'country', 'need', 'president', 'secure', 'border']"
15,"['debate', 'romney', 'well', 'immigration', 'answer', 'anchor', 'baby', 'get', 'path', 'citizenship', 'good', 'one']"
16,"['romney', 'solidify', 'claim', 'vote', 'take', 'immigration']"
17,"['romney', 'want', 'pass', 'one', 'thing', 'say', 'love', 'tonight']"
18,"['romney', 'terrific', 'job']"
19,"['romney', 'president']"
20,"['romney', 'explain', 'things', 'even', 'better', 'st']"
21,"['romney', 'need', 'give', 'chance', 'last', 'debate', 'top', 'one']"
22,"['romney', 'romney', 'romney']"
23,['romney']
24,"['romney', 'ryan', 'believe', 'america']"
25,"['romney', 'guy']"
26,"['vote', 'romney']"
27,"['wake', 'pew', 'research', 'center', 'romney', 'gain', 'point', 'favorability', 'among']"
28,"['poll', 'not', 'mean', 'anything', 'gallup', 'romney', 'national', 'lead', 'widen', 'point', 'romney']"
29,"['go', 'romney']"
30,"['romney', 'need', 'display', 'energy', 'continue', 'redefine', 'attack', 'current', 'economic', 'condition', 'natural']"
31,"['think', 'another', 'strong', 'performance', 'tonight', 'romney', 'win']"
32,"['politics', 'remove', 'poll', 'indicate', 'romney', 'slight', 'lead', 'poll', 'vote', 'must']"
33,"['romney', 'win', 'tell', 'vote']"
34,"['go', 'move', 'canada', 'romney', 'win']"
35,"['romney', 'win', 'good']"
